Id,Season,Episode,Chunk,Ex,Ey,Px,Py
138,7.0,14.0,9.0,0.4,0.4,0.1,-0.2
139,7.0,14.0,10.0,0.3,0.1,0.2,-0.1
140,7.0,15.0,1.0,0.6,0.5,0.3,-0.1
141,7.0,15.0,2.0,0.5,0.4,-0.1,-0.6
142,7.0,15.0,3.0,-0.3,0.2,-0.2,-0.3
143,7.0,15.0,4.0,0.1,0.1,-0.1,-0.2
144,7.0,15.0,5.0,0.5,0.3,-0.3,-0.1
145,7.0,15.0,6.0,0.6,0.4,-0.1,-0.2
146,7.0,15.0,7.0,0.8,0.0,-0.3,-0.5
147,7.0,15.0,8.0,-0.5,-0.6,0.2,-0.4
148,7.0,15.0,9.0,0.4,0.3,0.3,-0.2
149,7.0,15.0,10.0,0.3,0.2,0.2,-0.1
150,7.0,16.0,1.0,0.6,0.6,0.4,-0.2
151,7.0,16.0,2.0,0.5,0.4,-0.3,-0.4
152,7.0,16.0,3.0,0.4,0.5,-0.1,-0.2
153,7.0,16.0,4.0,0.3,0.4,0.2,-0.1
154,7.0,16.0,5.0,0.2,0.3,0.1,0.0
155,7.0,16.0,6.0,0.1,0.5,-0.1,-0.4
156,7.0,16.0,7.0,0.6,0.7,-0.3,0.2
157,7.0,16.0,8.0,0.5,0.6,-0.5,0.5
158,7.0,16.0,9.0,0.4,0.3,0.1,-0.3
159,7.0,16.0,10.0,0.2,0.0,0.2,-0.2
160,7.0,17.0,1.0,0.5,0.5,0.3,-0.1
161,7.0,17.0,2.0,0.6,0.3,-0.1,-0.3
162,7.0,17.0,3.0,0.7,0.0,-0.3,-0.6
163,7.0,17.0,4.0,0.5,0.4,-0.5,0.3
164,7.0,17.0,5.0,0.3,0.3,0.1,-0.2
165,7.0,17.0,6.0,-0.2,0.4,0.0,-0.1
166,7.0,17.0,7.0,-0.4,0.5,0.1,0.0
167,7.0,17.0,8.0,0.4,0.3,0.2,-0.1
168,7.0,17.0,9.0,-0.6,0.6,-0.4,-0.8
169,7.0,17.0,10.0,0.3,0.4,0.3,-0.3
170,7.0,21.0,1.0,0.4,0.3,0.2,-0.2
171,7.0,21.0,2.0,0.2,0.2,-0.3,0.1
172,7.0,21.0,3.0,0.3,0.3,-0.4,0.2
173,7.0,21.0,4.0,0.4,0.2,-0.5,0.1
174,7.0,21.0,5.0,0.3,0.1,0.3,-0.1
175,7.0,21.0,6.0,0.2,0.0,0.1,-0.2
176,7.0,21.0,7.0,0.4,0.6,0.0,-0.3
177,7.0,21.0,8.0,0.3,0.4,-0.1,-0.1
178,7.0,21.0,9.0,0.2,0.3,-0.2,-0.2
179,7.0,21.0,10.0,0.1,0.2,0.3,-0.3
180,7.0,20.0,1.0,0.6,0.3,0.3,-0.3
181,7.0,20.0,2.0,0.4,0.3,-0.3,0.1
182,7.0,20.0,3.0,0.3,0.2,0.2,-0.1
183,7.0,20.0,4.0,0.4,0.1,-0.1,-0.2
184,7.0,20.0,5.0,0.3,0.2,-0.4,-0.8
185,7.0,20.0,6.0,0.6,0.4,-0.3,-0.3
186,7.0,20.0,7.0,0.4,0.2,0.1,-0.1
187,7.0,20.0,8.0,0.3,0.1,-0.1,-0.2
188,7.0,20.0,9.0,0.4,0.2,0.0,-0.3
189,7.0,20.0,10.0,0.2,0.1,0.2,-0.2
190,7.0,19.0,1.0,0.4,0.0,0.3,-0.2
191,7.0,19.0,2.0,0.3,0.1,-0.1,-0.4
192,7.0,19.0,3.0,-0.1,-0.3,-0.2,0.1
193,7.0,19.0,4.0,0.4,0.3,-0.1,0.2
194,7.0,19.0,5.0,0.3,0.2,0.1,-0.1
195,7.0,19.0,6.0,0.2,0.1,0.0,0.0
196,7.0,19.0,7.0,0.4,0.2,-0.4,0.4
197,7.0,19.0,8.0,0.3,0.1,0.2,0.1
198,7.0,19.0,9.0,0.4,0.0,0.1,0.0
199,7.0,19.0,10.0,0.2,0.1,0.3,-0.1
200,7.0,18.0,1.0,0.7,-0.6,0.1,0.3
201,7.0,18.0,2.0,0.6,-0.5,-0.2,-0.1
202,7.0,18.0,3.0,0.5,-0.4,-0.3,-0.2
203,7.0,18.0,4.0,0.4,-0.2,-0.4,-0.3
204,7.0,18.0,5.0,0.5,0.0,-0.2,-0.1
205,7.0,18.0,6.0,-0.3,0.3,-0.3,-0.2
206,7.0,18.0,7.0,0.3,0.2,-0.4,-0.3
207,7.0,18.0,8.0,0.4,0.3,-0.2,-0.1
208,7.0,18.0,9.0,0.5,0.4,-0.5,-0.3
209,7.0,18.0,10.0,0.4,0.5,0.3,-0.1
210,4.0,20.0,1.0,0.7,0.6,0.5,-0.2
211,4.0,20.0,2.0,-0.4,0.8,-0.1,0.1
212,4.0,20.0,3.0,-0.2,0.4,0.1,-0.1
213,4.0,20.0,4.0,0.3,0.7,-0.2,-0.2
214,4.0,20.0,5.0,0.4,0.6,-0.4,0.1
